role,login_hour,failed_logins,files_accessed,sensitive_files_accessed,usb_insertions,external_email_count,vpn_usage,working_hours_violation,anomaly_score,insider_threat
0,21,0,21,0,1,2,1,1,0.713,0
2,0,3,18,1,0,0,0,0,0.282,0
2,22,1,16,0,0,1,0,0,0.524,0
2,3,0,13,2,1,6,0,0,0.538,0
1,7,2,8,0,0,3,0,0,0.206,0
2,5,0,19,0,0,1,0,1,0.076,0
3,9,1,10,0,0,2,1,1,0.436,0
3,4,0,18,1,1,3,1,0,0.811,0
1,23,1,10,1,0,4,0,0,0.918,0
2,21,2,8,1,0,1,0,0,0.373,0
2,22,4,24,0,0,1,0,1,0.277,0
2,2,0,12,0,1,7,0,1,0.651,1
3,19,3,9,3,1,0,0,0,0.132,0
1,20,1,15,1,2,2,0,0,0.015,0
2,21,2,15,0,0,1,1,0,0.434,0
2,6,1,17,1,1,3,1,0,0.392,0
3,5,0,12,0,0,3,1,0,0.535,0
2,15,2,18,0,0,1,0,1,0.449,0
2,6,2,11,0,2,5,0,1,0.05,0
2,16,2,19,1,2,2,0,0,0.865,0
2,11,1,17,2,0,0,0,1,0.062,0
2,16,0,17,2,0,1,1,1,0.327,0
3,20,2,14,2,0,2,0,0,0.348,0
0,10,1,5,0,0,2,1,0,0.155,0
1,8,0,14,0,0,2,0,0,0.566,1
0,7,0,15,0,1,1,0,1,0.721,0
2,20,2,12,0,2,0,0,0,0.452,0
2,11,2,12,0,1,4,0,0,0.935,0
2,16,2,19,1,0,0,0,0,0.788,0
3,8,0,18,0,0,2,0,1,0.276,1
2,23,0,16,0,1,3,0,0,0.094,1
2,8,1,14,2,0,2,0,0,0.716,0
2,3,1,15,0,1,1,1,0,0.236,0
3,6,0,10,1,0,1,0,0,0.75,0
3,15,1,16,0,0,1,1,0,0.449,0
3,12,0,18,0,2,2,0,1,0.027,0
1,8,0,12,1,0,5,0,0,0.308,0
2,19,2,8,0,0,3,0,1,0.253,0
0,11,0,18,0,1,3,0,0,0.277,0
2,12,0,11,1,0,2,0,1,0.049,0
0,8,2,11,0,0,2,1,0,0.217,0
2,5,2,16,1,1,2,0,0,0.141,0
2,19,1,11,1,0,2,0,1,0.927,0
2,19,2,12,0,1,4,1,0,0.958,0
0,11,2,17,2,1,3,0,0,0.393,0
2,7,1,14,1,1,1,0,0,0.515,0
2,11,1,17,3,2,0,0,0,0.476,0
2,6,0,24,1,0,1,0,0,0.89,0
3,20,1,9,0,1,2,1,0,0.62,0
2,22,2,14,2,1,1,0,0,0.731,0
2,10,0,12,1,1,4,1,0,0.733,0
2,1,1,13,1,1,2,0,0,0.348,0
0,15,0,15,1,1,1,0,1,0.521,0
2,8,1,19,1,1,5,0,0,0.559,0
2,18,0,16,1,0,4,1,0,0.94,0
2,16,0,11,0,0,2,1,0,0.531,0
2,18,7,13,0,0,3,1,0,0.433,0
2,7,2,21,1,1,1,0,0,0.744,0
2,15,0,22,0,3,3,1,0,0.031,1
2,1,2,13,0,1,2,1,0,0.345,0
2,21,0,14,1,0,4,0,1,0.268,0
2,18,0,12,0,0,3,0,1,0.185,0
2,17,2,15,1,0,3,0,0,0.141,0
2,8,2,16,1,1,2,0,1,0.773,0
2,7,2,22,1,1,2,1,0,0.024,0
2,8,1,18,0,0,2,0,1,0.829,0
2,15,2,13,1,1,1,0,0,0.501,0
2,19,2,8,1,0,0,1,0,0.09,0
0,3,0,12,0,0,1,0,0,0.658,0
3,9,3,12,0,1,2,0,0,0.18,0
2,18,1,17,0,0,3,0,0,0.555,0
2,11,1,16,0,1,2,0,0,0.559,1
2,19,0,14,1,0,1,0,0,0.588,0
1,14,2,14,2,1,2,0,0,0.992,0
2,12,0,17,1,0,2,0,0,0.596,1
2,3,1,15,1,0,3,0,0,0.936,0
2,17,0,18,1,1,1,0,0,0.123,0
2,20,0,9,1,0,0,1,0,0.011,0
2,8,1,17,1,0,0,0,0,0.882,0
1,21,1,16,0,0,1,1,0,0.572,0
2,19,2,10,2,1,2,1,0,0.097,0
2,2,1,20,0,0,2,0,0,0.432,0
2,23,0,18,1,0,1,1,0,0.919,0
2,19,2,14,0,0,1,1,0,0.493,1
2,10,1,22,1,0,6,0,0,0.565,0
3,23,3,22,0,1,2,0,1,0.282,0
2,13,2,21,0,0,3,0,0,0.409,0
2,3,0,14,1,0,5,0,0,0.605,0
2,19,0,14,1,0,0,1,0,0.913,0
2,21,0,10,2,1,4,0,0,0.353,0
2,20,2,20,0,0,4,0,0,0.505,0
2,17,2,20,1,2,1,0,0,0.572,1
1,10,0,17,3,0,2,1,1,0.134,0
3,9,2,12,2,1,3,0,0,0.075,0
2,11,1,14,0,2,3,0,0,0.652,0
3,16,0,17,0,0,2,0,0,0.226,0
2,7,1,14,0,2,2,0,0,0.166,0
2,2,1,17,2,1,1,0,0,0.533,0
3,20,3,9,0,1,0,1,0,0.798,0
2,18,2,19,0,1,2,1,0,0.631,0
2,16,1,13,0,1,0,0,1,0.608,0
3,19,0,20,0,0,2,0,0,0.945,0
0,22,2,17,1,1,3,0,1,0.816,0
1,21,1,10,2,1,2,1,0,0.355,1
2,2,1,11,2,1,2,0,0,0.914,0
2,22,1,20,0,0,0,0,0,0.055,0
2,19,1,10,2,0,0,0,0,0.568,0
2,9,1,17,1,1,1,0,0,0.726,1
2,0,0,10,0,0,5,0,0,0.703,0
2,13,0,18,0,0,1,0,1,0.007,0
2,20,0,16,0,1,2,0,0,0.263,0
2,3,3,17,0,2,3,0,0,0.636,0
2,2,0,17,1,0,4,0,0,0.126,0
2,19,3,10,1,0,2,1,0,0.722,0
0,10,1,12,0,1,0,0,0,0.048,0
1,10,0,16,0,0,2,0,0,0.266,0
2,11,2,20,0,0,2,0,1,0.335,0
2,19,2,19,0,1,1,0,1,0.375,0
2,3,1,16,2,1,3,0,1,0.409,0
1,6,2,16,1,0,2,1,1,0.793,1
3,9,2,15,1,0,4,0,0,0.835,0
1,14,3,12,0,2,1,1,0,0.673,0
2,16,2,14,1,0,1,1,0,0.32,0
2,23,4,16,1,0,0,1,1,0.451,0
2,10,0,14,3,0,4,0,0,0.051,0
2,23,0,10,1,0,0,0,0,0.068,0
1,11,1,6,2,0,3,1,0,0.533,0
2,0,1,19,1,0,2,0,1,0.116,0
2,16,2,14,0,1,1,0,0,0.924,0
2,7,2,17,1,1,1,0,1,0.166,0
1,6,0,9,1,0,1,1,0,0.666,0
2,5,1,20,2,1,3,0,0,0.985,0
2,15,1,20,3,1,5,0,0,0.593,0
2,15,2,16,0,0,3,1,0,0.024,1
0,20,0,16,2,1,1,0,0,0.045,1
0,2,0,14,1,1,1,0,1,0.14,0
0,9,2,25,0,1,2,0,0,0.751,0
2,17,1,14,0,0,0,0,0,0.563,0
2,3,2,12,0,0,1,0,1,0.63,0
3,10,3,16,0,0,3,0,0,0.909,0
2,0,0,15,1,1,2,0,1,0.78,0
2,18,2,15,0,3,2,0,0,0.948,0
3,23,1,20,0,0,3,0,0,0.015,0
3,10,0,14,0,1,2,0,1,0.728,0
0,3,2,22,0,1,5,0,0,0.722,0
2,0,2,14,0,0,1,0,0,0.692,0
3,17,0,15,0,0,2,0,0,0.646,0
1,15,2,16,1,0,1,1,0,0.068,0
2,18,6,19,0,0,2,1,0,0.613,0
2,18,1,15,0,0,2,1,0,0.445,0
2,7,3,20,0,2,2,0,0,0.396,0
2,3,1,18,0,0,1,0,0,0.724,0
2,21,0,15,0,0,3,0,1,0.203,0
2,19,3,14,0,0,2,1,1,0.708,0
1,11,0,16,1,1,2,1,0,0.299,0
2,11,3,16,0,0,3,1,0,0.828,0
2,1,0,16,0,0,2,0,0,0.791,0
2,9,2,11,0,0,2,1,1,0.406,1
2,15,1,17,1,2,5,0,1,0.782,0
2,7,1,21,2,0,2,0,1,0.346,0
2,7,1,15,2,0,3,1,0,0.686,0
0,14,1,14,4,0,4,0,0,0.822,0
3,3,1,14,0,0,2,0,1,0.272,0
1,11,1,13,1,0,3,1,0,0.811,0
1,8,1,11,1,1,1,0,0,0.6,1
2,20,0,22,0,0,0,0,0,0.844,0
2,23,1,18,1,1,2,1,0,0.13,0
0,19,0,12,0,0,2,0,0,0.554,0
2,2,1,22,0,0,1,0,0,0.446,1
1,22,2,16,1,1,3,0,0,0.509,0
2,14,0,15,0,1,3,1,1,0.71,0
2,1,4,18,0,0,4,0,0,0.134,1
2,11,2,13,0,1,3,1,0,0.896,0
2,1,2,14,1,0,0,0,0,0.814,0
2,22,0,16,0,1,1,0,0,0.058,0
2,13,1,16,2,1,2,0,1,0.515,0
1,20,0,18,0,0,4,0,0,0.8,0
3,12,0,16,1,0,2,0,0,0.44,1
3,23,4,13,0,0,3,0,0,0.242,0
1,14,5,17,0,1,2,0,0,0.942,0
0,22,1,8,2,0,3,1,0,0.564,1
1,6,2,7,1,0,2,0,0,0.625,0
0,22,0,24,1,0,2,0,1,0.099,0
2,4,1,14,0,1,0,1,1,0.585,0
2,9,1,10,0,2,1,1,0,0.577,0
2,11,2,28,1,0,1,1,0,0.284,0
2,11,1,11,1,0,5,1,1,0.707,0
0,1,1,20,1,0,2,0,0,0.525,0
3,6,1,22,1,1,0,0,0,0.657,0
2,15,3,24,0,0,1,0,0,0.629,0
2,0,1,14,0,2,1,0,0,0.136,0
2,23,1,11,1,0,1,0,0,0.688,0
3,13,0,9,1,1,1,0,0,0.792,1
3,14,4,11,1,0,4,1,0,0.846,0
2,4,2,8,1,1,2,1,0,0.377,0
2,23,1,28,0,0,2,0,1,0.019,0
2,4,3,17,1,1,1,0,0,0.692,0
2,5,2,14,0,1,2,0,1,0.49,0
1,14,0,6,0,0,4,1,0,0.736,0
2,6,1,15,0,0,3,0,0,0.07,0
2,20,0,20,1,1,1,0,1,0.82,0
3,20,0,11,1,2,2,0,0,0.592,0
2,3,0,17,0,0,0,0,1,0.98,0
2,8,0,20,3,0,3,0,1,0.484,0
2,19,2,16,1,0,1,0,1,0.663,0
2,23,0,17,0,2,1,1,0,0.803,0
2,13,1,14,1,0,2,0,0,0.059,0
2,10,0,21,1,1,2,0,0,0.414,0
2,18,2,15,1,0,1,0,1,0.129,1
2,0,1,16,1,0,3,1,0,0.945,0
2,20,1,18,0,0,3,1,0,0.831,0
2,11,0,14,1,1,0,0,0,0.517,0
1,5,0,19,0,2,4,0,0,0.664,0
0,7,0,10,0,1,1,0,0,0.943,1
1,7,2,9,1,0,0,0,0,0.665,0
1,19,4,11,0,0,2,0,1,0.39,0
2,9,0,20,0,0,4,0,1,0.836,0
2,7,2,13,0,1,1,1,0,0.937,0
1,4,2,14,2,2,4,1,0,0.653,0
2,21,1,22,0,1,1,0,0,0.17,1
0,6,2,19,1,1,2,0,1,0.451,0
3,4,0,11,0,1,4,0,0,0.922,1
2,11,1,16,2,0,3,1,1,0.893,0
2,19,3,14,2,1,4,1,0,0.773,0
2,0,0,16,1,1,2,0,0,0.872,0
2,4,2,12,1,0,4,0,0,0.312,0
2,11,1,19,1,1,1,1,1,0.382,0
2,1,1,23,2,1,4,1,0,0.217,0
2,0,1,15,2,0,5,0,1,0.945,1
0,0,0,15,1,0,0,0,0,0.48,1
2,17,1,17,1,1,2,1,0,0.615,0
3,23,2,10,0,0,3,1,0,0.593,0
2,3,3,13,1,0,1,0,0,0.2,0
2,10,1,19,0,1,0,0,0,0.716,0
2,16,2,20,0,1,1,0,0,0.198,0
2,12,0,16,0,1,3,0,1,0.866,0
3,14,4,16,2,0,0,1,0,0.78,0
2,21,0,20,0,0,3,0,1,0.442,0
2,14,0,16,0,1,5,0,0,0.612,0
3,21,1,14,1,1,3,1,0,0.839,0
2,0,1,14,0,1,1,0,0,0.168,0
0,2,1,14,2,0,1,1,0,0.327,1
2,2,4,29,0,1,2,0,0,0.323,0
2,13,1,11,3,0,3,0,0,0.662,0
2,8,0,17,1,1,1,0,0,0.666,0
2,9,0,18,0,1,2,1,0,0.634,0
2,4,2,11,1,0,3,0,0,0.104,1
2,4,0,17,1,0,2,0,0,0.805,0
2,12,1,15,0,2,1,0,0,0.989,0
0,2,0,14,0,1,3,1,1,0.875,0
2,2,2,15,1,2,2,1,0,0.475,0
2,1,0,14,0,1,0,1,0,0.894,0
1,12,1,14,2,0,9,0,1,0.876,0
2,13,0,17,1,1,1,1,0,0.026,0
0,1,0,18,1,1,4,0,0,0.367,0
2,22,2,15,1,0,3,1,1,0.704,0
2,19,1,18,0,1,3,0,0,0.665,0
2,16,0,20,1,0,2,1,0,0.2,0
2,7,0,14,1,0,2,0,0,0.466,0
2,9,4,13,0,1,6,0,0,0.268,0
1,13,2,17,1,1,1,0,0,0.744,0
3,9,0,11,2,0,1,0,0,0.313,0
1,22,0,12,3,0,1,0,0,0.65,1
1,13,1,17,0,0,4,0,0,0.081,0
2,23,1,21,1,1,1,0,0,0.206,0
3,5,1,13,0,0,6,1,0,0.005,0
3,19,3,10,1,0,3,0,1,0.613,0
2,19,1,15,1,0,4,1,0,0.79,0
0,19,0,17,1,0,1,0,0,0.432,1
2,19,0,13,0,1,4,1,1,0.97,0
2,13,0,11,0,1,6,1,0,0.861,0
2,4,2,19,1,0,6,0,1,0.654,0
0,16,2,17,0,0,1,1,0,0.902,0
0,17,1,14,1,1,3,1,1,0.969,0
2,21,0,14,0,0,2,1,1,0.937,0
1,1,0,14,0,2,0,0,0,0.313,0
2,3,2,11,0,0,1,0,0,0.46,0
3,19,1,26,1,0,0,0,1,0.453,0
2,17,2,13,1,0,1,0,0,0.3,1
2,14,0,12,2,0,1,0,0,0.904,0
2,15,2,11,0,0,6,0,1,0.505,0
2,13,1,13,0,1,3,1,0,0.876,0
2,4,0,16,0,0,0,0,0,0.756,0
2,2,1,19,1,0,3,0,0,0.459,0
0,13,1,11,2,2,1,1,0,0.609,0
2,19,0,17,1,0,1,0,0,0.161,0
2,16,1,18,1,0,4,0,1,0.729,0
2,8,0,17,0,0,0,1,0,0.288,0
2,1,1,15,1,0,2,0,1,0.444,1
2,21,5,13,0,0,4,0,1,0.801,0
1,15,2,18,1,0,1,0,0,0.0,0
2,21,1,19,1,0,0,1,0,0.377,1
3,1,1,15,0,1,3,0,0,0.545,0
2,18,2,14,3,1,1,0,0,0.221,1
0,14,2,13,0,2,1,0,1,0.468,0
0,2,2,14,1,1,3,1,0,0.776,0
2,15,2,12,0,1,4,0,1,0.816,0
3,5,2,17,1,0,4,0,1,0.672,0
2,12,0,13,0,0,3,0,0,0.234,0
1,20,0,17,0,0,0,1,0,0.296,0
2,12,3,10,1,0,6,1,0,0.595,0
2,17,2,21,1,1,2,0,0,0.808,0
2,22,0,15,0,0,2,0,1,0.814,0
0,4,1,14,2,0,4,0,0,0.341,0
2,13,0,11,1,0,4,1,0,0.562,0
2,0,1,16,1,1,1,0,0,0.819,0
2,0,0,15,1,1,3,0,0,0.982,1
2,14,0,11,1,0,3,0,0,0.872,0
2,3,2,18,1,1,0,0,0,0.527,0
3,15,1,12,1,0,3,0,0,0.326,0
2,8,2,17,0,0,0,1,0,0.01,0
2,23,1,11,2,0,2,1,0,0.44,0
2,23,0,9,1,1,6,0,1,0.85,0
2,9,1,10,0,1,3,1,0,0.556,0
0,4,0,14,1,3,1,1,0,0.526,0
2,18,1,7,2,0,3,1,0,0.374,0
3,1,1,16,0,0,1,0,1,0.625,0
2,12,1,18,1,0,3,0,1,0.47,0
2,23,2,15,0,0,1,1,1,0.322,1
2,8,0,21,1,0,1,1,1,0.023,0
2,13,0,19,1,1,2,1,0,0.786,0
2,2,2,18,0,2,0,0,0,0.443,0
2,22,1,18,0,0,2,0,0,0.038,0
2,13,1,12,2,0,3,0,0,0.109,0
2,3,1,15,0,2,3,0,0,0.427,0
2,23,1,19,1,0,0,1,1,0.963,0
2,14,1,16,1,0,3,0,0,0.663,0
2,5,4,18,2,2,1,0,0,0.779,0
2,23,0,19,0,1,4,0,0,0.055,0
2,20,2,17,1,1,1,0,0,0.29,0
1,8,2,14,1,0,0,1,0,0.465,0
1,9,0,11,0,0,2,0,1,0.44,0
1,15,2,22,2,2,1,1,1,0.644,0
2,10,2,15,1,0,2,0,1,0.938,0
0,22,0,19,2,1,2,0,0,0.786,0
2,0,0,15,0,0,2,0,0,0.972,1
3,15,0,9,3,0,1,0,0,0.843,0
3,12,2,14,1,0,0,0,1,0.531,0
2,16,2,14,1,1,0,0,1,0.358,0
1,2,1,18,3,2,2,0,1,0.07,0
2,10,1,18,1,1,1,0,1,0.26,0
2,5,3,13,0,0,3,0,0,0.92,0
2,23,1,20,1,0,3,0,0,0.548,0
3,5,0,9,0,0,4,0,1,0.494,0
2,10,1,17,2,1,2,0,0,0.088,0
2,19,0,15,3,0,2,0,0,0.536,1
2,10,0,20,1,0,3,1,0,0.534,0
3,6,0,13,1,0,5,0,0,0.632,0
2,15,0,18,0,1,1,0,0,0.722,0
2,5,1,9,0,1,1,1,0,0.743,0
2,9,1,24,2,0,1,0,1,0.222,1
2,23,0,21,1,0,3,0,1,0.642,0
2,22,1,14,0,2,2,0,0,0.508,0
2,1,1,21,0,0,3,0,0,0.865,1
1,22,3,19,5,0,2,0,0,0.703,1
2,18,1,22,1,0,0,0,0,0.592,1
2,14,3,22,2,0,0,0,0,0.793,0
2,12,2,10,1,0,2,1,0,0.243,0
2,22,0,19,0,1,2,1,0,0.948,1
2,5,1,20,2,1,0,0,0,0.55,0
2,9,1,16,0,1,1,1,1,0.587,1
2,5,1,22,1,0,3,0,0,0.855,0
3,9,0,10,0,0,3,0,0,0.986,0
2,8,2,15,1,1,3,0,0,0.475,0
2,14,1,14,1,0,5,1,1,0.212,0
2,13,2,11,0,3,2,0,0,0.455,0
1,16,4,5,2,0,0,1,1,0.273,0
2,10,1,7,0,2,0,0,0,0.511,0
2,23,1,15,2,1,2,0,0,0.221,0
2,8,1,13,1,1,3,1,0,0.832,0
2,21,1,14,1,1,3,0,1,0.897,0
2,18,1,15,1,2,2,0,1,0.471,0
2,11,1,17,1,0,1,0,0,0.773,0
2,8,2,15,1,1,4,1,0,0.221,1
2,8,1,11,0,0,1,0,0,0.344,0
2,21,0,11,0,0,3,0,0,0.81,0
2,2,0,16,0,1,1,1,0,0.312,0
3,3,0,15,0,2,2,0,0,0.102,0
2,11,2,9,1,1,2,0,0,0.113,0
2,15,2,11,1,0,2,0,0,0.921,0
3,20,2,16,1,0,4,0,0,0.45,0
2,22,0,14,1,1,2,0,0,0.113,0
2,12,3,17,1,1,2,0,0,0.642,0
2,2,2,19,2,1,2,1,0,0.867,0
2,1,0,31,1,1,4,0,0,0.742,0
2,12,0,7,1,1,1,0,0,0.299,0
2,11,1,16,0,1,2,0,1,0.992,0
1,23,1,19,2,1,1,1,1,0.571,1
2,0,0,16,1,1,1,1,1,0.149,0
3,22,2,22,0,1,3,1,0,0.216,0
2,15,1,11,3,1,2,0,1,0.544,0
1,1,2,12,0,1,2,1,0,0.593,0
2,9,0,20,0,1,4,0,1,0.527,0
2,16,1,16,0,1,4,0,0,0.174,0
2,7,2,10,0,0,1,0,0,0.804,1
2,8,0,14,1,1,3,1,0,0.019,0
2,18,2,8,1,0,2,0,0,0.591,0
1,5,1,17,1,0,3,0,1,0.527,0
0,15,2,13,1,0,2,0,0,0.777,0
2,1,1,23,0,0,1,1,0,0.129,1
2,9,0,8,3,2,4,1,0,0.326,0
2,0,3,26,0,2,2,0,0,0.057,0
2,5,1,12,0,1,5,1,0,0.714,0
1,0,0,13,1,0,3,0,0,0.351,0
2,23,3,5,1,0,5,0,0,0.154,0
2,21,1,20,0,1,1,0,0,0.043,0
2,12,1,21,1,1,3,0,0,0.159,0
2,1,0,10,1,0,3,0,1,0.065,0
1,9,3,11,0,0,0,0,0,0.487,0
3,21,0,19,2,1,0,0,0,0.889,0
2,13,1,16,0,0,6,1,0,0.567,0
0,16,2,14,1,1,1,0,0,0.302,1
2,21,3,9,0,0,0,1,0,0.532,0
2,12,1,10,2,0,2,0,1,0.709,0
2,23,1,18,0,0,2,0,0,0.93,0
2,22,2,15,1,1,2,0,0,0.573,1
3,1,0,15,0,0,2,1,1,0.091,1
2,15,2,15,1,1,1,0,0,0.304,0
2,19,5,17,0,1,1,1,0,0.087,0
3,18,1,10,1,0,1,0,0,0.505,0
2,16,2,14,0,1,0,1,0,0.506,0
0,22,2,15,2,0,4,0,0,0.822,0
3,8,0,18,1,2,0,0,0,0.333,1
0,5,1,23,1,0,2,1,0,0.237,0
1,4,1,15,1,0,3,0,0,0.609,0
2,0,0,19,1,0,3,1,1,0.782,0
2,8,1,14,0,0,3,1,0,0.461,0
2,2,1,17,1,1,0,1,0,0.427,0
2,7,2,16,1,1,2,0,0,0.065,0
1,5,0,17,1,0,4,0,1,0.636,0
0,12,1,15,3,0,5,0,0,0.759,0
0,8,2,19,1,1,1,0,0,0.753,0
2,20,0,22,2,1,1,1,0,0.288,0
2,4,0,15,0,1,1,0,0,0.948,0
2,9,2,23,1,1,1,0,1,0.232,0
2,10,0,8,3,0,1,0,0,0.743,0
2,8,0,13,0,1,2,1,0,0.695,0
2,13,0,10,2,1,2,0,0,0.273,0
2,21,2,18,0,0,1,0,0,0.014,1
2,19,1,19,1,0,0,0,0,0.671,0
1,4,2,10,0,0,0,0,0,0.855,0
2,0,0,8,1,0,2,0,0,0.024,0
2,4,2,21,1,1,2,1,0,0.027,0
3,19,0,16,1,0,2,0,1,0.186,0
2,9,0,16,1,1,2,0,0,0.627,0
2,22,2,13,1,0,2,1,1,0.23,1
0,15,2,11,0,0,2,0,0,0.677,1
2,8,1,12,1,0,3,1,0,0.092,0
2,13,0,25,2,0,0,0,0,0.396,0
1,11,2,15,1,0,1,0,0,0.829,0
3,7,0,13,0,1,0,0,1,0.324,0
0,14,0,11,2,0,3,0,1,0.978,0
2,6,0,13,1,0,1,0,0,0.364,0
2,4,0,15,0,1,1,1,1,0.173,0
2,19,1,10,0,2,1,0,0,0.286,1
2,2,0,16,1,1,2,1,0,0.558,1
1,7,0,27,0,0,0,0,1,0.041,0
2,12,1,17,1,0,1,1,0,0.552,0
2,0,0,8,0,1,1,1,0,0.995,0
3,23,0,22,2,1,0,0,0,0.712,0
2,16,1,11,0,0,2,0,0,0.529,0
0,0,1,15,0,1,5,0,0,0.414,0
2,4,0,14,0,1,6,0,0,0.552,1
2,14,1,13,0,1,2,0,0,0.197,0
2,2,1,13,1,0,3,1,1,0.328,0
2,12,0,10,0,0,1,1,1,0.513,1
2,12,0,17,1,1,3,0,1,0.821,1
3,0,1,14,1,0,1,0,1,0.086,0
0,6,0,15,1,0,1,1,0,0.997,0
2,17,1,10,0,2,1,1,0,0.939,0
2,13,0,12,0,0,3,0,0,0.255,0
2,19,1,18,0,1,3,0,0,0.535,0
2,9,2,14,0,1,4,0,1,0.756,0
2,10,1,11,0,1,1,0,0,0.569,0
2,22,3,20,2,1,4,0,0,0.65,1
0,22,2,18,0,0,2,0,0,0.239,0
1,22,1,15,0,1,1,0,1,0.448,0
3,3,2,16,2,0,2,1,0,0.07,0
2,2,5,14,1,1,0,1,0,0.393,1
2,15,1,18,2,0,5,1,0,0.719,1
2,22,2,18,0,0,4,1,0,0.005,1
2,2,4,22,1,0,1,0,0,0.275,0
2,11,0,15,1,0,2,1,0,0.198,0
2,13,1,15,0,1,1,0,0,0.12,0
2,19,0,12,0,0,1,0,0,0.692,0
2,15,2,21,3,0,2,1,0,0.588,0
1,15,0,16,1,0,2,0,0,0.724,0
3,7,1,16,2,0,1,1,0,0.379,0
2,11,1,17,0,1,1,0,1,0.262,1
2,7,0,10,1,1,3,0,0,0.268,0
2,21,1,17,0,0,1,1,0,0.794,0
2,4,0,15,1,1,3,0,0,0.966,0
1,15,2,17,1,0,0,0,0,0.202,0
2,22,0,21,2,1,0,1,0,0.22,0
0,7,0,10,2,0,2,0,1,0.105,0
2,21,2,23,2,2,1,0,1,0.978,0
2,22,1,18,0,2,2,1,0,0.289,0
3,0,2,14,1,1,4,0,0,0.621,0
2,20,0,15,0,0,3,0,0,0.054,0
2,17,1,20,1,1,1,1,0,0.763,0
0,22,2,20,0,0,1,0,0,0.466,0
2,1,2,15,0,0,3,0,0,0.809,0
2,7,4,13,0,0,1,0,0,0.151,0
2,19,2,19,2,1,2,0,0,0.125,0
2,4,1,16,0,0,1,0,1,0.434,0
2,13,1,17,0,2,3,0,0,0.498,0
2,16,1,14,1,0,1,0,0,0.177,0
3,3,1,16,0,1,2,0,1,0.447,0
2,3,3,8,1,0,4,0,0,0.067,0
2,6,2,14,1,0,1,0,0,0.463,0
3,9,0,17,0,0,1,0,0,0.662,0
3,23,2,21,1,0,3,1,0,0.67,1
0,7,3,20,0,0,4,0,0,0.779,0
1,9,0,16,1,0,1,0,0,0.065,0
2,5,0,20,0,2,3,0,1,0.174,0
2,7,3,16,1,1,6,1,1,0.74,0
3,8,2,17,1,1,0,0,0,0.496,0
1,9,1,12,0,0,3,1,0,0.548,0
2,8,0,9,0,0,3,0,0,0.063,0
0,11,3,12,1,1,1,0,0,0.243,0
2,12,0,18,0,2,6,0,1,0.431,0
2,8,0,21,1,3,2,1,1,0.029,0
3,0,3,11,1,1,3,0,0,0.733,0
3,19,2,8,1,2,0,1,0,0.172,0
2,15,1,11,2,0,3,0,0,0.168,0
2,7,1,18,0,1,0,0,0,0.371,0
1,10,2,11,0,0,3,1,0,0.646,0
2,18,1,17,0,1,0,1,1,0.616,1
2,12,2,13,0,0,6,1,0,0.914,1
2,13,3,15,1,1,3,0,0,0.937,0
2,3,2,16,1,0,2,1,0,0.819,0
2,14,1,21,1,0,0,0,0,0.249,0
2,4,3,9,1,0,2,0,0,0.242,0
2,4,0,14,0,0,2,0,0,0.645,0
2,12,0,14,0,2,2,0,1,0.324,1
2,19,1,15,2,0,1,0,0,0.185,0
2,3,0,14,1,1,2,0,0,0.688,0
2,10,3,16,0,1,3,0,0,0.943,0
2,18,0,13,0,0,0,0,0,0.185,0
3,12,3,12,0,1,2,0,0,0.069,1
1,8,5,9,0,2,1,0,0,0.476,0
3,22,2,20,0,0,1,0,1,0.995,0
2,8,1,13,1,0,1,1,0,0.728,1
2,23,1,11,1,0,2,0,0,0.412,0
3,23,0,21,2,1,2,1,1,0.997,0
2,19,0,17,0,0,4,0,0,0.657,0
2,19,3,8,1,0,1,1,0,0.253,1
3,23,0,15,1,1,1,1,0,0.461,0
0,5,0,13,1,0,3,1,0,0.834,0
0,2,0,16,1,1,5,0,0,0.302,0
2,12,0,12,0,1,2,1,0,0.351,0
2,2,2,14,0,0,0,1,0,0.472,0
0,11,1,9,1,1,4,0,0,0.417,1
2,17,1,14,0,2,1,1,0,0.264,1
2,23,0,17,0,1,4,1,0,0.927,0
2,7,2,13,0,1,2,1,0,0.55,0
2,3,2,8,1,0,1,0,1,0.686,0
2,10,0,12,2,0,5,0,0,0.114,0
2,21,0,20,2,0,2,0,1,0.256,1
0,0,2,20,1,2,2,0,0,0.948,1
2,6,1,18,0,1,1,0,1,0.841,0
2,8,0,13,1,0,0,1,0,0.685,0
2,12,0,9,0,0,2,0,0,0.317,0
3,17,1,9,0,1,1,0,0,0.683,0
2,15,0,9,2,0,0,0,0,0.962,1
2,23,0,17,0,1,2,0,0,0.426,0
3,23,0,14,1,0,0,0,1,0.562,0
2,12,1,19,0,2,4,0,0,0.025,0
2,9,0,13,2,1,2,1,1,0.481,0
2,22,2,17,1,1,0,1,0,0.336,0
2,21,2,14,0,0,1,0,0,0.75,0
2,15,1,14,0,0,1,0,0,0.147,0
2,14,0,10,1,0,2,0,1,0.115,0
2,11,0,15,1,0,0,1,0,0.729,0
2,21,0,9,0,0,0,0,0,0.246,0
2,11,2,10,0,0,2,0,0,0.907,1
2,1,0,11,1,1,2,0,0,0.545,0
2,18,0,11,1,3,4,0,1,0.499,0
2,16,2,21,2,2,1,0,0,0.587,0
3,10,1,13,1,0,1,1,0,0.085,0
